product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,Sale
4,1,03-Jul-19,503,35,6.99,244.65
6,1,03-Jul-19,505,6,-1,-6
7,1,03-Jul-19,506,7,5.5,38.5
10,1,03-Jul-19,509,10,-1,-10
12,1,03-Jul-19,511,15,1.25,18.75
13,1,04-Sep-18,512,20,-1,-20
16,1,03-Jul-19,515,6,2.18,13.08
18,1,04-Sep-18,517,8,6.99,55.92
19,1,03-Jul-19,518,9,1.25,11.25
22,1,03-Jul-19,521,15,0.99,14.85
24,1,03-Jul-19,523,35,-1,-35
25,1,03-Jul-19,524,-1,6.99,-6.99
28,1,04-Sep-18,527,8,5.5,44
30,1,03-Jul-19,529,10,2.18,21.8
31,1,03-Jul-19,530,1,-1,-1
34,1,03-Jul-19,533,35,-1,-35
36,1,03-Jul-19,535,6,0.99,5.94
37,1,03-Jul-19,536,7,2.18,15.26
40,1,03-Jul-19,539,10,1.25,12.5
42,1,03-Jul-19,541,15,5.5,82.5
43,1,04-Sep-18,542,20,0.99,19.8
46,1,03-Jul-19,545,6,6.99,41.94
48,1,04-Sep-18,547,8,-1,-8
49,1,03-Jul-19,548,-1,5.5,-5.5
2,1,03-Jul-19,551,15,-1,-15
4,1,03-Jul-19,553,35,1.25,43.75
5,1,03-Jul-19,554,5,-1,-5
8,1,04-Sep-18,557,8,2.18,17.44
10,1,03-Jul-19,559,10,6.99,69.9
11,1,03-Jul-19,560,1,1.25,1.25
14,1,03-Jul-19,563,35,0.99,34.65
16,1,03-Jul-19,565,6,-1,-6
17,1,03-Jul-19,566,7,6.99,48.93
20,1,03-Jul-19,569,10,5.5,55
22,1,03-Jul-19,571,15,2.18,32.7
23,1,04-Sep-18,572,-1,-1,1
26,1,03-Jul-19,575,6,-1,-6
28,1,04-Sep-18,577,8,0.99,7.92
29,1,03-Jul-19,578,9,2.18,19.62
32,1,03-Jul-19,581,15,1.25,18.75
34,1,03-Jul-19,583,35,5.5,192.5
35,1,03-Jul-19,584,5,0.99,4.95
38,1,04-Sep-18,587,8,6.99,55.92
40,1,03-Jul-19,589,10,-1,-10
41,1,03-Jul-19,590,1,5.5,5.5
44,1,03-Jul-19,593,35,-1,-35
46,1,03-Jul-19,595,6,1.25,7.5
47,1,03-Jul-19,596,-1,-1,1
50,1,03-Jul-19,599,10,2.18,21.8
2,1,03-Jul-19,601,15,6.99,104.85
3,1,04-Sep-18,602,20,1.25,25
6,1,03-Jul-19,605,6,0.99,5.94
8,1,04-Sep-18,607,8,-1,-8
9,1,03-Jul-19,608,9,6.99,62.91
12,1,03-Jul-19,611,15,5.5,82.5
14,1,03-Jul-19,613,35,2.18,76.3
15,1,03-Jul-19,614,5,-1,-5
18,1,04-Sep-18,617,8,-1,-8
20,1,03-Jul-19,619,10,0.99,9.9
21,1,03-Jul-19,620,-1,2.18,-2.18
24,1,03-Jul-19,623,35,1.25,43.75
26,1,03-Jul-19,625,6,5.5,33
27,1,03-Jul-19,626,7,0.99,6.93
