product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
2,2,2019-07-03,501,2,2.18,10:15:20
3,null,None,502,3,null,09:30:11
4,1,2019-07-03,503,4,6.99,null
5,2,2019-07-03,504,5,1.25,14:20:05
6,1,2019-07-03,505,6,null,12:05:44
7,1,2019-07-03,506,7,5.50,10:15:20
8,2,None,507,8,0.99,09:30:11
9,null,2019-07-03,508,null,2.18,null
10,1,2019-07-03,509,10,null,14:20:05
11,2,2019-07-03,510,1,6.99,12:05:44
12,1,2019-07-03,511,2,1.25,10:15:20
13,1,None,512,3,null,09:30:11
14,2,2019-07-03,513,4,5.50,null
15,null,2019-07-03,514,5,0.99,14:20:05
16,1,2019-07-03,515,6,2.18,12:05:44
17,2,2019-07-03,516,null,null,10:15:20
18,1,None,517,8,6.99,09:30:11
19,1,2019-07-03,518,9,1.25,null
20,2,2019-07-03,519,10,null,14:20:05
21,null,2019-07-03,520,1,5.50,12:05:44
22,1,2019-07-03,521,2,0.99,10:15:20
23,2,None,522,3,2.18,09:30:11
24,1,2019-07-03,523,4,null,null
25,1,2019-07-03,524,null,6.99,14:20:05
26,2,2019-07-03,525,6,1.25,12:05:44
27,null,2019-07-03,526,7,null,10:15:20
28,1,None,527,8,5.50,09:30:11
29,2,2019-07-03,528,9,0.99,null
30,1,2019-07-03,529,10,2.18,14:20:05
31,1,2019-07-03,530,1,null,12:05:44
32,2,2019-07-03,531,2,6.99,10:15:20
33,null,None,532,null,1.25,09:30:11
34,1,2019-07-03,533,4,null,null
35,2,2019-07-03,534,5,5.50,14:20:05
36,1,2019-07-03,535,6,0.99,12:05:44
37,1,2019-07-03,536,7,2.18,10:15:20
38,2,None,537,8,null,09:30:11
39,null,2019-07-03,538,9,6.99,null
40,1,2019-07-03,539,10,1.25,14:20:05
41,2,2019-07-03,540,null,null,12:05:44
42,1,2019-07-03,541,2,5.50,10:15:20
43,1,None,542,3,0.99,09:30:11
44,2,2019-07-03,543,4,2.18,null
45,null,2019-07-03,544,5,null,14:20:05
46,1,2019-07-03,545,6,6.99,12:05:44
47,2,2019-07-03,546,7,1.25,10:15:20
48,1,None,547,8,null,09:30:11
49,1,2019-07-03,548,null,5.50,null
50,2,2019-07-03,549,10,0.99,14:20:05
1,null,2019-07-03,550,1,2.18,12:05:44
2,1,2019-07-03,551,2,null,10:15:20
3,2,None,552,3,6.99,09:30:11
4,1,2019-07-03,553,4,1.25,null
5,1,2019-07-03,554,5,null,14:20:05
6,2,2019-07-03,555,6,5.50,12:05:44
7,null,2019-07-03,556,null,0.99,10:15:20
8,1,None,557,8,2.18,09:30:11
9,2,2019-07-03,558,9,null,null
10,1,2019-07-03,559,10,6.99,14:20:05
11,1,2019-07-03,560,1,1.25,12:05:44
12,2,2019-07-03,561,2,null,10:15:20
13,null,None,562,3,5.50,09:30:11
14,1,2019-07-03,563,4,0.99,null
15,2,2019-07-03,564,null,2.18,14:20:05
16,1,2019-07-03,565,6,null,12:05:44
17,1,2019-07-03,566,7,6.99,10:15:20
18,2,None,567,8,1.25,09:30:11
19,null,2019-07-03,568,9,null,null
20,1,2019-07-03,569,10,5.50,14:20:05
21,2,2019-07-03,570,1,0.99,12:05:44
22,1,2019-07-03,571,2,2.18,10:15:20
23,1,None,572,null,null,09:30:11
24,2,2019-07-03,573,4,6.99,null
25,null,2019-07-03,574,5,1.25,14:20:05
26,1,2019-07-03,575,6,null,12:05:44
27,2,2019-07-03,576,7,5.50,10:15:20
28,1,None,577,8,0.99,09:30:11
29,1,2019-07-03,578,9,2.18,null
30,2,2019-07-03,579,10,null,14:20:05
31,null,2019-07-03,580,null,6.99,12:05:44
32,1,2019-07-03,581,2,1.25,10:15:20
33,2,None,582,3,null,09:30:11
34,1,2019-07-03,583,4,5.50,null
35,1,2019-07-03,584,5,0.99,14:20:05
36,2,2019-07-03,585,6,2.18,12:05:44
37,null,2019-07-03,586,7,null,10:15:20
38,1,None,587,8,6.99,09:30:11
39,2,2019-07-03,588,null,1.25,null
40,1,2019-07-03,589,10,null,14:20:05
41,1,2019-07-03,590,1,5.50,12:05:44
42,2,2019-07-03,591,2,0.99,10:15:20
43,null,None,592,3,2.18,09:30:11
44,1,2019-07-03,593,4,null,null
45,2,2019-07-03,594,5,6.99,14:20:05
46,1,2019-07-03,595,6,1.25,12:05:44
47,1,2019-07-03,596,null,null,10:15:20
48,2,None,597,8,5.50,09:30:11
49,null,2019-07-03,598,9,0.99,null
50,1,2019-07-03,599,10,2.18,14:20:05
1,2,2019-07-03,600,1,null,12:05:44
2,1,2019-07-03,601,2,6.99,10:15:20
3,1,None,602,3,1.25,09:30:11
4,2,2019-07-03,603,4,null,null
5,null,2019-07-03,604,null,5.50,14:20:05
6,1,2019-07-03,605,6,0.99,12:05:44
7,2,2019-07-03,606,7,2.18,10:15:20
8,1,None,607,8,null,09:30:11
9,1,2019-07-03,608,9,6.99,null
10,2,2019-07-03,609,10,1.25,14:20:05
11,null,2019-07-03,610,1,null,12:05:44
12,1,2019-07-03,611,2,5.50,10:15:20
13,2,None,612,null,0.99,09:30:11
14,1,2019-07-03,613,4,2.18,null
15,1,2019-07-03,614,5,null,14:20:05
16,2,2019-07-03,615,6,6.99,12:05:44
17,null,2019-07-03,616,7,1.25,10:15:20
18,1,None,617,8,null,09:30:11
19,2,2019-07-03,618,9,5.50,null
20,1,2019-07-03,619,10,0.99,14:20:05
21,1,2019-07-03,620,null,2.18,12:05:44
22,2,2019-07-03,621,2,null,10:15:20
23,null,None,622,3,6.99,09:30:11
24,1,2019-07-03,623,4,1.25,null
25,2,2019-07-03,624,5,null,14:20:05
26,1,2019-07-03,625,6,5.50,12:05:44
27,1,2019-07-03,626,7,0.99,10:15:20
28,2,None,627,8,2.18,09:30:11
29,null,2019-07-03,628,null,null,null
30,1,2019-07-03,629,10,6.99,14:20:05
31,2,2019-07-03,630,1,1.25,12:05:44
32,1,2019-07-03,631,2,null,10:15:20
33,1,None,632,3,5.50,09:30:11
34,2,2019-07-03,633,4,0.99,null
35,null,2019-07-03,634,5,2.18,14:20:05
36,1,2019-07-03,635,6,null,12:05:44
37,2,2019-07-03,636,null,6.99,10:15:20
38,1,None,637,8,1.25,09:30:11
39,1,2019-07-03,638,9,null,null
40,2,2019-07-03,639,10,5.50,14:20:05
41,null,2019-07-03,640,1,0.99,12:05:44
42,1,2019-07-03,641,2,2.18,10:15:20
43,2,None,642,3,null,09:30:11
44,1,2019-07-03,643,4,6.99,null
45,1,2019-07-03,644,null,1.25,14:20:05
46,2,2019-07-03,645,6,null,12:05:44
47,null,2019-07-03,646,7,5.50,10:15:20
48,1,None,647,8,0.99,09:30:11
49,2,2019-07-03,648,9,2.18,null
50,1,2019-07-03,649,10,null,14:20:05
1,1,2019-07-03,650,1,6.99,12:05:44
2,2,2019-07-03,651,2,1.25,10:15:20
3,null,None,652,null,null,09:30:11
